airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-06-03,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,10467
Jet Airways,2019-05-27,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,12898
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,No Info,14781
Jet Airways,2019-05-18,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Air India,2019-05-15,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5510
Indigo,2019-03-03,Banglore,New Delhi,00:40:00,03:25:00,165,0.0,No Info,6860
Multiple Carriers,2019-05-18,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,8073
Jet Airways,2019-05-15,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Air India,2019-03-06,Banglore,New Delhi,08:15:00,22:55:00,880,2.0,No Info,13942
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,23:25:00,570,1.0,No Info,14231
Jet Airways,2019-06-12,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,10577
Jet Airways,2019-05-18,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Jet Airways,2019-06-15,Delhi,Cochin,11:45:00,12:35:00,1490,2.0,No Info,13882
Air India,2019-03-01,Banglore,New Delhi,00:30:00,23:55:00,1405,1.0,1 Long layover,12599
Spicejet,2019-03-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3815
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Indigo,2019-03-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,14871
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,22:35:00,850,1.0,No Info,13759
Air India,2019-03-15,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No Info,7276
Jet Airways,2019-05-09,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,13029
Air India,2019-03-21,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,7532
Indigo,2019-06-03,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6386
Vistara,2019-05-09,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,8452
Jet Airways,2019-06-27,Delhi,Cochin,11:30:00,19:00:00,450,1.0,In-flight meal not included,10262
Indigo,2019-06-06,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,6628
Multiple Carriers,2019-06-09,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No Info,11622
Jet Airways,2019-04-09,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,In-flight meal not included,10844
Air India,2019-03-21,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,5704
Multiple Carriers,2019-05-06,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,9794
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,07:25:00,1495,2.0,In-flight meal not included,10118
Indigo,2019-06-15,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4077
Indigo,2019-03-06,Delhi,Cochin,05:05:00,10:05:00,300,1.0,No Info,7894
Air India,2019-05-15,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,8372
Air India,2019-03-06,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,15428
Multiple Carriers,2019-06-15,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,9526
Indigo,2019-03-09,Delhi,Cochin,05:05:00,10:05:00,300,1.0,No Info,8147
Air India,2019-04-27,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Jet Airways,2019-06-27,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5769
Air India,2019-05-06,Kolkata,Banglore,05:50:00,13:15:00,445,2.0,No Info,7662
Indigo,2019-05-18,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Air India,2019-03-18,Banglore,New Delhi,08:50:00,10:35:00,1545,2.0,No Info,11885
Multiple Carriers,2019-05-18,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No Info,7564
Air India,2019-05-27,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10493
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,05:05:00,375,1.0,No Info,54826
Air India,2019-05-09,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,6121
Indigo,2019-03-27,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3858
Jet Airways,2019-06-06,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,8016
Multiple Carriers,2019-06-15,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,12717
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No Info,9345
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,9315
Jet Airways,2019-06-01,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,7229
Indigo,2019-03-09,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,7060
Air India,2019-05-18,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Air India,2019-05-01,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6121
Air India,2019-06-09,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,11185
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No Info,14151
Air India,2019-06-24,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Vistara,2019-03-24,Kolkata,Banglore,17:00:00,10:50:00,1070,1.0,No Info,12890
Multiple Carriers,2019-03-27,Delhi,Cochin,08:55:00,21:00:00,725,1.0,No Info,8055
Jet Airways,2019-06-24,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Jet Airways,2019-06-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,8016
Air India,2019-05-15,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No Info,8839
Air India,2019-03-24,Kolkata,Banglore,16:45:00,23:15:00,1830,2.0,No Info,12835
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,13292
Air Asia,2019-06-12,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6152
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,13067
Air India,2019-06-03,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10493
Air India,2019-05-01,Kolkata,Banglore,20:30:00,13:45:00,1035,2.0,No Info,15164
